试次id,试次序号,原始数据,刺激位置
1978544,试次3,"[{""x"":1312,""y"":593,""t"":6},{""x"":1299,""y"":657,""t"":38},{""x"":1198,""y"":617,""t"":73},{""x"":1153,""y"":603,""t"":106},{""x"":1136,""y"":578,""t"":141},{""x"":1130,""y"":563,""t"":174},{""x"":1166,""y"":530,""t"":211},{""x"":1144,""y"":552,""t"":244},{""x"":1116,""y"":559,""t"":277},{""x"":1128,""y"":597,""t"":311},{""x"":1123,""y"":618,""t"":345},{""x"":1081,""y"":586,""t"":379},{""x"":1102,""y"":564,""t"":413},{""x"":1153,""y"":595,""t"":447},{""x"":1197,""y"":623,""t"":481},{""x"":1240,""y"":644,""t"":515},{""x"":1206,""y"":637,""t"":548},{""x"":1185,""y"":614,""t"":583},{""x"":1182,""y"":650,""t"":617},{""x"":1176,""y"":672,""t"":650},{""x"":1166,""y"":661,""t"":686},{""x"":1159,""y"":640,""t"":720},{""x"":1144,""y"":622,""t"":754},{""x"":1204,""y"":623,""t"":787},{""x"":1189,""y"":598,""t"":821},{""x"":1167,""y"":623,""t"":855},{""x"":1201,""y"":626,""t"":889},{""x"":1200,""y"":612,""t"":923},{""x"":1220,""y"":597,""t"":956},{""x"":1090,""y"":602,""t"":991},{""x"":1014,""y"":600,""t"":1028},{""x"":988,""y"":614,""t"":1063},{""x"":926,""y"":598,""t"":1093},{""x"":912,""y"":595,""t"":1126},{""x"":867,""y"":571,""t"":1160},{""x"":889,""y"":553,""t"":1195},{""x"":954,""y"":587,""t"":1230},{""x"":1005,""y"":601,""t"":1263},{""x"":1033,""y"":613,""t"":1298},{""x"":1045,""y"":627,""t"":1332},{""x"":1116,""y"":647,""t"":1364},{""x"":1057,""y"":687,""t"":1403},{""x"":1004,""y"":721,""t"":1435},{""x"":936,""y"":738,""t"":1467},{""x"":879,""y"":751,""t"":1501},{""x"":889,""y"":758,""t"":1536},{""x"":899,""y"":763,""t"":1568},{""x"":900,""y"":776,""t"":1604},{""x"":901,""y"":751,""t"":1637},{""x"":908,""y"":750,""t"":1671},{""x"":778,""y"":779,""t"":1705},{""x"":750,""y"":773,""t"":1738},{""x"":810,""y"":736,""t"":1773},{""x"":880,""y"":743,""t"":1807},{""x"":885,""y"":763,""t"":1842},{""x"":837,""y"":749,""t"":1875},{""x"":826,""y"":718,""t"":1912},{""x"":815,""y"":675,""t"":1944},{""x"":829,""y"":627,""t"":1977},{""x"":825,""y"":615,""t"":2011},{""x"":812,""y"":602,""t"":2044},{""x"":851,""y"":630,""t"":2079},{""x"":868,""y"":652,""t"":2121},{""x"":857,""y"":677,""t"":2148},{""x"":804,""y"":696,""t"":2181},{""x"":759,""y"":713,""t"":2214},{""x"":778,""y"":684,""t"":2250},{""x"":795,""y"":658,""t"":2283},{""x"":781,""y"":654,""t"":2317},{""x"":762,""y"":639,""t"":2351},{""x"":737,""y"":604,""t"":2386},{""x"":782,""y"":589,""t"":2419},{""x"":776,""y"":603,""t"":2452},{""x"":843,""y"":675,""t"":2489},{""x"":875,""y"":741,""t"":2523},{""x"":843,""y"":832,""t"":2555},{""x"":874,""y"":827,""t"":2594},{""x"":944,""y"":828,""t"":2622},{""x"":915,""y"":809,""t"":2658},{""x"":887,""y"":791,""t"":2690},{""x"":794,""y"":813,""t"":2725},{""x"":897,""y"":833,""t"":2759},{""x"":949,""y"":863,""t"":2793},{""x"":989,""y"":877,""t"":2827},{""x"":1034,""y"":874,""t"":2860},{""x"":1012,""y"":909,""t"":2895},{""x"":991,""y"":937,""t"":2928},{""x"":929,""y"":878,""t"":2962},{""x"":875,""y"":819,""t"":2998},{""x"":893,""y"":807,""t"":3030},{""x"":915,""y"":800,""t"":3065},{""x"":897,""y"":815,""t"":3099},{""x"":943,""y"":784,""t"":3132},{""x"":982,""y"":758,""t"":3166},{""x"":884,""y"":737,""t"":3200},{""x"":782,""y"":728,""t"":3237},{""x"":727,""y"":738,""t"":3271},{""x"":736,""y"":773,""t"":3302},{""x"":811,""y"":709,""t"":3337},{""x"":831,""y"":756,""t"":3370},{""x"":848,""y"":797,""t"":3407},{""x"":963,""y"":807,""t"":3444},{""x"":978,""y"":781,""t"":3473},{""x"":1050,""y"":755,""t"":3507},{""x"":1125,""y"":724,""t"":3541},{""x"":1183,""y"":637,""t"":3575},{""x"":1136,""y"":615,""t"":3609},{""x"":1210,""y"":592,""t"":3644},{""x"":1197,""y"":530,""t"":3678},{""x"":1157,""y"":488,""t"":3711},{""x"":1155,""y"":432,""t"":3745},{""x"":1118,""y"":414,""t"":3779},{""x"":1160,""y"":422,""t"":3812},{""x"":1241,""y"":429,""t"":3846},{""x"":1199,""y"":423,""t"":3882},{""x"":1191,""y"":423,""t"":3914},{""x"":1199,""y"":445,""t"":3949},{""x"":1307,""y"":445,""t"":3983},{""x"":1410,""y"":436,""t"":4017},{""x"":1355,""y"":448,""t"":4052},{""x"":1305,""y"":459,""t"":4085},{""x"":1256,""y"":472,""t"":4119},{""x"":1226,""y"":497,""t"":4152},{""x"":1200,""y"":517,""t"":4187},{""x"":1148,""y"":535,""t"":4221},{""x"":1131,""y"":539,""t"":4255},{""x"":1283,""y"":539,""t"":4289},{""x"":1298,""y"":508,""t"":4322},{""x"":1261,""y"":454,""t"":4357},{""x"":1142,""y"":490,""t"":4391},{""x"":1064,""y"":487,""t"":4424},{""x"":1105,""y"":437,""t"":4460},{""x"":1116,""y"":389,""t"":4492},{""x"":1118,""y"":319,""t"":4527},{""x"":1121,""y"":261,""t"":4560},{""x"":1094,""y"":262,""t"":4595},{""x"":1096,""y"":311,""t"":4630},{""x"":1035,""y"":357,""t"":4663},{""x"":1003,""y"":399,""t"":4697},{""x"":976,""y"":436,""t"":4731},{""x"":958,""y"":437,""t"":4766},{""x"":805,""y"":476,""t"":4798},{""x"":849,""y"":459,""t"":4833},{""x"":938,""y"":402,""t"":4866},{""x"":1011,""y"":463,""t"":4901},{""x"":974,""y"":557,""t"":4935},{""x"":932,""y"":632,""t"":4968},{""x"":1052,""y"":702,""t"":5003},{""x"":1081,""y"":768,""t"":5037},{""x"":1090,""y"":808,""t"":5073},{""x"":1162,""y"":800,""t"":5159},{""x"":1148,""y"":814,""t"":5178},{""x"":1207,""y"":797,""t"":5206},{""x"":1174,""y"":799,""t"":5240},{""x"":1189,""y"":768,""t"":5276},{""x"":1185,""y"":717,""t"":5309},{""x"":1164,""y"":706,""t"":5343},{""x"":1185,""y"":671,""t"":5377},{""x"":1202,""y"":641,""t"":5410},{""x"":1155,""y"":653,""t"":5446},{""x"":1036,""y"":670,""t"":5479},{""x"":1024,""y"":674,""t"":5513},{""x"":1031,""y"":718,""t"":5547},{""x"":1022,""y"":706,""t"":5581},{""x"":965,""y"":739,""t"":5616},{""x"":959,""y"":759,""t"":5650},{""x"":990,""y"":724,""t"":5683},{""x"":997,""y"":741,""t"":5717},{""x"":1005,""y"":755,""t"":5751},{""x"":913,""y"":730,""t"":5784},{""x"":829,""y"":730,""t"":5819},{""x"":886,""y"":720,""t"":5853},{""x"":938,""y"":711,""t"":5886},{""x"":879,""y"":674,""t"":5922},{""x"":852,""y"":669,""t"":5954},{""x"":936,""y"":695,""t"":5990},{""x"":958,""y"":707,""t"":6023},{""x"":950,""y"":700,""t"":6057},{""x"":951,""y"":651,""t"":6091},{""x"":998,""y"":681,""t"":6125},{""x"":1017,""y"":707,""t"":6161},{""x"":1034,""y"":731,""t"":6192},{""x"":1041,""y"":745,""t"":6227},{""x"":988,""y"":727,""t"":6261},{""x"":943,""y"":711,""t"":6295},{""x"":925,""y"":704,""t"":6329},{""x"":910,""y"":699,""t"":6364},{""x"":897,""y"":673,""t"":6397},{""x"":852,""y"":650,""t"":6431},{""x"":878,""y"":676,""t"":6465},{""x"":903,""y"":699,""t"":6498},{""x"":929,""y"":689,""t"":6534},{""x"":889,""y"":716,""t"":6567},{""x"":888,""y"":743,""t"":6601},{""x"":887,""y"":740,""t"":6637},{""x"":888,""y"":736,""t"":6668},{""x"":878,""y"":751,""t"":6703},{""x"":871,""y"":763,""t"":6737},{""x"":807,""y"":750,""t"":6773},{""x"":806,""y"":721,""t"":6805},{""x"":819,""y"":686,""t"":6840},{""x"":862,""y"":693,""t"":6879},{""x"":840,""y"":692,""t"":6909},{""x"":847,""y"":706,""t"":6941},{""x"":850,""y"":682,""t"":6975},{""x"":775,""y"":705,""t"":7015},{""x"":709,""y"":727,""t"":7049},{""x"":735,""y"":732,""t"":7081},{""x"":781,""y"":775,""t"":7111},{""x"":809,""y"":819,""t"":7144},{""x"":857,""y"":836,""t"":7179},{""x"":897,""y"":849,""t"":7214},{""x"":954,""y"":819,""t"":7247},{""x"":960,""y"":870,""t"":7285},{""x"":965,""y"":870,""t"":7318},{""x"":853,""y"":887,""t"":7349},{""x"":756,""y"":901,""t"":7383},{""x"":765,""y"":727,""t"":7423},{""x"":817,""y"":639,""t"":7452},{""x"":840,""y"":538,""t"":7485},{""x"":853,""y"":473,""t"":7519},{""x"":843,""y"":504,""t"":7553},{""x"":889,""y"":528,""t"":7587},{""x"":930,""y"":636,""t"":7621},{""x"":972,""y"":700,""t"":7656},{""x"":1006,""y"":755,""t"":7691},{""x"":1003,""y"":816,""t"":7723},{""x"":967,""y"":842,""t"":7757},{""x"":970,""y"":832,""t"":7791}]","{""x"":20,""y"":65.70000457763672,""width"":1496,""height"":648,""top"":65.70000457763672,""right"":1516,""bottom"":713.7000045776367,""left"":20}"
1978602,试次4,"[{""x"":939,""y"":750,""t"":11},{""x"":1053,""y"":661,""t"":46},{""x"":997,""y"":597,""t"":103},{""x"":1052,""y"":532,""t"":139},{""x"":1089,""y"":486,""t"":177},{""x"":991,""y"":424,""t"":251},{""x"":948,""y"":341,""t"":310},{""x"":1000,""y"":361,""t"":335},{""x"":1080,""y"":373,""t"":365},{""x"":1076,""y"":396,""t"":405},{""x"":1101,""y"":396,""t"":425},{""x"":1100,""y"":412,""t"":461},{""x"":1108,""y"":464,""t"":490},{""x"":1191,""y"":405,""t"":528},{""x"":1156,""y"":377,""t"":551},{""x"":1144,""y"":356,""t"":606},{""x"":1179,""y"":314,""t"":649},{""x"":1219,""y"":329,""t"":678},{""x"":1233,""y"":379,""t"":711},{""x"":1293,""y"":438,""t"":743},{""x"":1322,""y"":474,""t"":780},{""x"":1344,""y"":504,""t"":823},{""x"":1318,""y"":509,""t"":879},{""x"":1383,""y"":505,""t"":905},{""x"":1383,""y"":464,""t"":935},{""x"":1379,""y"":421,""t"":967},{""x"":1354,""y"":454,""t"":1006},{""x"":1343,""y"":475,""t"":1033},{""x"":1187,""y"":526,""t"":1071},{""x"":1192,""y"":583,""t"":1096},{""x"":1146,""y"":596,""t"":1139},{""x"":1184,""y"":610,""t"":1162},{""x"":1268,""y"":660,""t"":1228},{""x"":1166,""y"":629,""t"":1261},{""x"":1124,""y"":652,""t"":1288},{""x"":1168,""y"":704,""t"":1320},{""x"":1196,""y"":697,""t"":1351},{""x"":1159,""y"":716,""t"":1383},{""x"":1198,""y"":770,""t"":1415},{""x"":1137,""y"":767,""t"":1448},{""x"":1168,""y"":786,""t"":1500},{""x"":1231,""y"":797,""t"":1536},{""x"":1201,""y"":779,""t"":1582},{""x"":1190,""y"":760,""t"":1607},{""x"":1169,""y"":748,""t"":1647},{""x"":1126,""y"":754,""t"":1679},{""x"":1100,""y"":745,""t"":1737},{""x"":1045,""y"":743,""t"":1768},{""x"":930,""y"":777,""t"":1799},{""x"":986,""y"":781,""t"":1831},{""x"":982,""y"":764,""t"":1863},{""x"":897,""y"":833,""t"":1895},{""x"":748,""y"":852,""t"":1928},{""x"":725,""y"":827,""t"":1960},{""x"":727,""y"":792,""t"":1991},{""x"":650,""y"":801,""t"":2030},{""x"":588,""y"":809,""t"":2057},{""x"":699,""y"":828,""t"":2092},{""x"":756,""y"":854,""t"":2127},{""x"":683,""y"":870,""t"":2152},{""x"":615,""y"":844,""t"":2191},{""x"":674,""y"":849,""t"":2223},{""x"":660,""y"":827,""t"":2255},{""x"":563,""y"":810,""t"":2311},{""x"":527,""y"":801,""t"":2344},{""x"":496,""y"":840,""t"":2375},{""x"":458,""y"":900,""t"":2408},{""x"":530,""y"":872,""t"":2439},{""x"":516,""y"":870,""t"":2472},{""x"":519,""y"":837,""t"":2504},{""x"":555,""y"":728,""t"":2535},{""x"":728,""y"":591,""t"":2567},{""x"":935,""y"":532,""t"":2606},{""x"":1006,""y"":532,""t"":2631},{""x"":1003,""y"":559,""t"":2669},{""x"":901,""y"":583,""t"":2701},{""x"":888,""y"":517,""t"":2728},{""x"":812,""y"":578,""t"":2773},{""x"":734,""y"":661,""t"":2831},{""x"":687,""y"":684,""t"":2888},{""x"":699,""y"":729,""t"":2920},{""x"":647,""y"":820,""t"":2952},{""x"":642,""y"":817,""t"":2983},{""x"":635,""y"":852,""t"":3015},{""x"":571,""y"":919,""t"":3047},{""x"":571,""y"":984,""t"":3078},{""x"":631,""y"":988,""t"":3117},{""x"":623,""y"":983,""t"":3150},{""x"":609,""y"":1011,""t"":3179},{""x"":594,""y"":980,""t"":3212},{""x"":541,""y"":950,""t"":3246},{""x"":482,""y"":871,""t"":3286},{""x"":596,""y"":797,""t"":3337},{""x"":770,""y"":765,""t"":3400},{""x"":887,""y"":755,""t"":3432},{""x"":952,""y"":796,""t"":3464},{""x"":980,""y"":837,""t"":3496},{""x"":956,""y"":848,""t"":3527},{""x"":1005,""y"":820,""t"":3559},{""x"":1008,""y"":771,""t"":3591},{""x"":984,""y"":736,""t"":3623},{""x"":949,""y"":693,""t"":3656}]","{""x"":504.3999938964844,""y"":58,""width"":512,""height"":910,""top"":58,""right"":1016.3999938964844,""bottom"":968,""left"":504.3999938964844}"
